Disease,Symptoms
Cold,"fever, cough, fatigue, sore throat"
Migraine,"headache, nausea, dizziness, light sensitivity"
Heart Attack,"chest pain, shortness of breath, dizziness, cold sweat"
Flu,"fever, chills, muscle aches, fatigue, cough"
Tuberculosis,"persistent cough, blood in sputum, night sweats, weight loss"
Diabetes,"weight loss, excessive thirst, blurred vision, fatigue"
Rheumatoid Arthritis,"joint pain, swelling, stiffness, fatigue"
Systemic Lupus Erythematosus,"rash, fever, joint pain, photosensitivity"
Gastroenteritis,"abdominal pain, diarrhea, vomiting, fever, nausea"
Gallstones,"nausea, vomiting, abdominal pain, jaundice"
Lung Cancer,"persistent cough, fatigue, weight loss, chest pain, coughing up blood"
Alzheimer's Disease,"memory loss, confusion, difficulty planning, disorientation"
Irritable Bowel Syndrome,"abdominal pain, bloating, constipation, diarrhea"
Strep Throat,"fever, sore throat, swollen lymph nodes, red tonsils"
Meningitis,"fever, headache, neck stiffness, sensitivity to light"
Myasthenia Gravis,"muscle weakness, difficulty breathing, drooping eyelids"
Sciatica,"back pain, numbness in legs, tingling, difficulty moving"
Hypothyroidism,"fatigue, weight gain, constipation, dry skin"
Chronic Obstructive Pulmonary Disease,"chronic cough, weight loss, fatigue, shortness of breath"
Urinary Tract Infection,"burning sensation during urination, fever, frequent urination"
Diabetes Mellitus,"frequent urination, extreme hunger, blurry vision, fatigue"
Pelvic Inflammatory Disease,"pelvic pain, painful urination, fever, abnormal vaginal discharge"
Celiac Disease,"abdominal bloating, fatigue, diarrhea, unexplained weight loss"
Gout,"painful, swollen joints, fever, difficulty moving joint"
Cluster Headache,"severe headache, visual disturbances, nausea, sweating"
Eczema,"itchy skin, rash, swelling, redness, dryness"
Crohn's Disease,"diarrhea, cramping, nausea, weight loss, blood in stool"
Glaucoma,"persistent headaches, blurred vision, loss of peripheral vision, eye pain"
Chronic Fatigue Syndrome,"extreme fatigue, difficulty concentrating, muscle pain, sleep disturbances"
Osteoarthritis,"joint stiffness, pain, swelling, difficulty moving joint"
Mononucleosis,"swollen glands, fever, sore throat, fatigue"
Parkinson's Disease,"confusion, agitation, tremors, muscle rigidity"
Pneumonia,"fever, cough, difficulty breathing, chest pain, fatigue"
Tonsillitis,"painful swallowing, fever, swollen tonsils, redness in throat"
Hepatitis,"loss of appetite, jaundice, nausea, dark urine"
Bladder Infection,"painful urination, lower abdominal pain, cloudy urine"
Anemia,"fatigue, dizziness, pale skin, shortness of breath"
Asthma,"wheezing, shortness of breath, coughing, chest tightness"
Epilepsy,"seizures, loss of consciousness, confusion, jerking movements"
Chickenpox,"itchy rash, fever, fatigue, blisters"
Cystic Fibrosis,"chronic cough, lung infections, difficulty breathing, weight loss"
Liver Cirrhosis,"fatigue, nausea, jaundice, swelling in abdomen"
Multiple Sclerosis,"numbness, vision problems, muscle weakness, fatigue"
Liver Cancer,"jaundice, weight loss, pain in upper abdomen, dark urine"
Sepsis,"fever, chills, rapid heartbeat, confusion, low blood pressure"
Sickle Cell Disease,"pain episodes, fatigue, swelling in hands and feet, pale skin"
AIDS,"weight loss, fever, fatigue, swollen lymph nodes"
HIV,"swollen lymph nodes, fever, weight loss, diarrhea"
Lupus,"rash, joint pain, fatigue, kidney problems"
Psoriasis,"red patches, flaky skin, itching, nail changes"
Bipolar Disorder,"mood swings, energy fluctuations, depressive episodes, anxiety"
Schizophrenia,"delusions, hallucinations, disorganized thinking, paranoia"
Anxiety Disorder,"restlessness, rapid heart rate, sweating, constant worry"
Depression,"sadness, loss of interest, fatigue, sleep disturbances"
Insomnia,"difficulty falling asleep, fatigue, irritability, daytime sleepiness"
Menopause,"hot flashes, night sweats, mood swings, vaginal dryness"
Gastritis,"stomach pain, nausea, bloating, loss of appetite"
Hepatitis B,"jaundice, fatigue, loss of appetite, nausea"
Hepatitis C,"fatigue, nausea, jaundice, loss of appetite"
Herpes,"painful blisters, itching, sores, flu-like symptoms"
Cholera,"diarrhea, vomiting, dehydration, fever"
Dengue,"high fever, severe headache, joint pain, rash"
Zika Virus,"rash, fever, joint pain, conjunctivitis"
Tetanus,"muscle spasms, stiffness, difficulty swallowing, lockjaw"
Typhoid Fever,"fever, abdominal pain, weakness, loss of appetite"
Hantavirus,"fever, muscle aches, dizziness, fatigue"
West Nile Virus,"fever, headache, body aches, skin rash"
Rabies,"hydrophobia, agitation, fever, confusion"
Leptospirosis,"muscle aches, fever, vomiting, headache"
Malaria,"fever, chills, sweating, headache, fatigue"
Rocky Mountain Spotted Fever,"rash, fever, muscle aches, nausea"
Hodgkin's Lymphoma,"swollen lymph nodes, fever, night sweats, weight loss"
Non-Hodgkin's Lymphoma,"swollen lymph nodes, fatigue, weight loss, fever"
Ovarian Cancer,"bloating, abdominal pain, fatigue, menstrual changes"
Pancreatic Cancer,"abdominal pain, weight loss, jaundice, fatigue"
Cervical Cancer,"abnormal bleeding, pelvic pain, fatigue, pain during intercourse"
Colon Cancer,"blood in stool, abdominal pain, weight loss, fatigue"
Breast Cancer,"lump in breast, skin changes, pain, swelling"
Prostate Cancer,"frequent urination, pelvic pain, blood in urine, difficulty urinating"
Leukemia,"fever, weight loss, fatigue, swollen lymph nodes"
Ankylosing Spondylitis,"back pain, stiffness, fatigue, reduced flexibility"
Kawasaki Disease,"rash, fever, swollen lymph nodes, red eyes"
Toxoplasmosis,"flu-like symptoms, swollen lymph nodes, muscle aches"
Chikungunya,"fever, joint pain, rash, headache"
Lassa Fever,"fever, fatigue, bleeding, chest pain"
Marburg Virus,"fever, bleeding, headache, vomiting blood"
Yellow Fever,"fever, chills, nausea, muscle pain"
Botulism,"weakness, double vision, difficulty swallowing, nausea"
Typhus,"fever, rash, headache, muscle aches"
Lymphatic Filariasis,"swelling of limbs, fever, pain, redness"
Chagas Disease,"fever, fatigue, swollen lymph nodes, body aches"
Leprosy,"skin lesions, numbness, muscle weakness, eye problems"
Polio,"muscle weakness, paralysis, fever, fatigue"
Cystitis,"frequent urination, pain during urination, lower abdominal pain"
Endometriosis,"pelvic pain, painful menstruation, infertility, heavy periods"
Cardiac Arrest,"chest pain, loss of consciousness, shortness of breath"
Gastric Ulcer,"abdominal pain, bloating, nausea, vomiting"
Rheumatic Fever,"fever, joint pain, rash, carditis"
Appendicitis,"abdominal pain, nausea, fever, vomiting"
Hemorrhoids,"pain during bowel movement, itching, bleeding, swelling"
Erysipelas,"skin redness, swelling, fever, warmth in affected area"
Hypoglycemia,"shakiness, dizziness, sweating, confusion, hunger"
Hyperthyroidism,"weight loss, rapid heartbeat, sweating, irritability"
Hypothyroidism,"fatigue, weight gain, depression, dry skin"
Celiac Disease,"bloating, diarrhea, fatigue, weight loss"
Chronic Sinusitis,"nasal congestion, headaches, facial pain, cough"
